Species,Gregariousness,Water.Column,Diet,Habitat,Trophic.Level,BodySize,Activity,Trophic.Level.Cat,BodySize.Cat
Acanthurus reversus,1,2,Grazer,coral,2.2,21.6,Day,1,3
Acanthurus sohal,1,2,Grazer,coral,2,40,Day,1,4
Acanthurus tennentii,1,2,Grazer,coral,2,31,Day,1,4
Acanthurus thompsoni,3,2,Planktivore,coral,3.4,27,Day,3,3
Acanthurus triostegus,3,2,Grazer,coral,2.8,27,Day,2,3
Acanthurus tristis,1,2,Grazer,coral,2.2,25,Day,1,3
Acanthurus xanthopterus,1,2,Grazer,coral,2.9,70,Day,2,5
Achoerodus gouldii,1,2,Invertivore,rock,3.8,175,Day,4,6
Achoerodus viridis,1,2,Invertivore,rock,3.7,100,Day,4,6
Aeoliscus strigatus,3,2,Invertivore,coral,3.5,15,Day,3,2
Aetapcus maculatus,1,1,Invertivore,rock,3.5,22,Day,3,3
Aethaloperca rogaa,1,2,Piscivore,coral,4.2,60,Day,5,5
Afurcagobius tamarensis,1,1,Invertivore,sand,3.3,11,Day,3,2
Aioliops megastigma,3,2,Planktivore,sand,3.1,3,Day,3,1
Aioliops novaeguineae,1,1,Planktivore,sand,3,2.3,Day,2,1
Alectis ciliaris,3,4,Piscivore,water column,3.8,150,Day,4,6
Alectis indica,3,4,Piscivore,water column,4.09,165,Day,5,6
Alloclinus holderi,1,1,Invertivore,rock,3.5,10,Day,3,2
Alphestes immaculatus,1,2,Invertivore,coral,3.5,30,Day,3,3
Aluterus scriptus,1,2,Omnivore,coral,2.8,110,Day,2,6
Amanses scopas,1,2,Omnivore,coral,2.9,20,Day,2,3
Ambassis jacksoniensis,3,3,Planktivore,sand,3.1,7,Night,3,1
Amblycirrhitus bimacula,1,1,Invertivore,coral,3.5,8.5,Day,3,2
Amblycirrhitus pinos,1,1,Invertivore,coral,3.2,9.5,Day,3,2
Amblyeleotris fasciata,2,1,Invertivore,sand,3.3,8,Day,3,2
Amblyeleotris guttata,2,1,Invertivore,sand,3.4,11,Day,3,2
Amblyeleotris gymnocephala,2,1,Invertivore,sand,3.4,14,Day,3,2
Amblyeleotris japonica,2,1,Invertivore,sand,3.3,7.4,Day,3,2
Amblyeleotris periophthalma,2,1,Invertivore,sand,3.4,11,Day,3,2
Amblyeleotris steinitzi,2,1,Invertivore,sand,3.4,13,Day,3,2
Amblyeleotris sungami,2,1,Grazer,sand,3.3,10,Day,3,2
Amblyeleotris wheeleri,2,1,Invertivore,sand,3.4,10,Day,3,2
Amblyglyphidodon aureus,2,2,Omnivore,coral,2.7,13,Day,2,2
Amblyglyphidodon batunai,2,2,Omnivore,coral,2.7,10,Day,2,2
Amblyglyphidodon curacao,2,2,Omnivore,coral,2.6,11,Day,2,2
Amblyglyphidodon flavilatus,2,2,Omnivore,coral,2.7,10,Day,2,2
Amblyglyphidodon indicus,2,2,Omnivore,coral,2.7,8.3,Day,2,2
Amblyglyphidodon leucogaster,2,2,Omnivore,coral,3.4,13,Day,3,2
Amblyglyphidodon melanopterus,2,2,Omnivore,coral,2.7,10.1,Day,2,2
Amblyglyphidodon orbicularis,2,2,Grazer,coral,2.7,8.3,Day,2,2
Amblyglyphidodon ternatensis,2,2,Omnivore,coral,2.7,10,Day,2,2
Amblygobius buanensis,1,1,Grazer,sand,2.72,8,Day,2,2
Amblygobius bynoensis,1,1,Omnivore,sand,2.7,10,Day,2,2
Amblygobius decussatus,1,1,Omnivore,sand,2.7,9.5,Day,2,2
Amblygobius nocturnus,1,1,Omnivore,sand,2.7,10,Day,2,2
Amblygobius phalaena,1,1,Omnivore,sand,2.7,15,Day,2,2
Amblyrhynchotes honckenii,1,2,Invertivore,sand,3.3,30,Day,3,3
Ammodytes tobianus,2,1,Planktivore,sand,3.1,20,Day,3,3
Amphichaetodon howensis,1,2,Invertivore,coral,2.8,20,Day,2,3
Amphiprion akallopisos,2,2,Omnivore,coral,2.7,11,Day,2,2
Amphiprion akindynos,2,2,Omnivore,coral,2.7,9,Day,2,2
Amphiprion allardi,2,2,Omnivore,coral,2.7,15,Day,2,2
Amphiprion bicinctus,2,2,Omnivore,coral,2.7,14,Day,2,2
Amphiprion chrysopterus,2,2,Omnivore,coral,2.8,17,Day,2,3
Amphiprion clarkii,2,2,Planktivore,coral,2.9,15,Day,2,2
Amphiprion ephippium,2,2,Omnivore,coral,2.7,14,Day,2,2
Amphiprion frenatus,2,2,Omnivore,coral,2.8,14,Day,2,2
Amphiprion fuscocaudatus,2,2,Grazer,coral,2.7,14,Day,2,2
Amphiprion latezonatus,2,2,Omnivore,coral,2.7,14,Day,2,2
Amphiprion leucokranos,2,2,Grazer,coral,2.7,9,Day,2,2
Amphiprion mccullochi,2,2,Omnivore,coral,2.7,12,Day,2,2
Amphiprion melanopus,2,2,Omnivore,coral,2.8,12,Day,2,2
Amphiprion nigripes,2,2,Grazer,coral,2.7,11,Day,2,2
Amphiprion ocellaris,2,2,Omnivore,coral,3,11,Day,2,2
Amphiprion percula,2,2,Omnivore,coral,2.7,11,Day,2,2
Amphiprion perideraion,2,2,Omnivore,coral,2.6,10,Day,2,2
Amphiprion polymnus,2,2,Planktivore,coral,2.7,13,Day,2,2
Amphiprion rubrocinctus,2,2,Omnivore,coral,2.6,12,Day,2,2
Amphiprion sandaracinos,2,2,Omnivore,coral,2.7,14,Day,2,2
Anampses caeruleopunctatus,2,2,Invertivore,coral,3.3,42,Day,3,4
Anampses cuvier,2,2,Invertivore,coral,3.4,31,Day,3,4
Anampses elegans,2,2,Invertivore,coral,3.5,30,Day,3,3
Anampses femininus,2,2,Invertivore,coral,3.5,24,Day,3,3
Anampses geographicus,2,2,Invertivore,coral,3.2,31,Day,3,4
Anampses lennardi,2,2,Invertivore,coral,3.5,28,Day,3,3
Anampses lineatus,2,2,Invertivore,coral,3.4,13,Day,3,2
Anampses melanurus,2,2,Invertivore,coral,3.4,12,Day,3,2
Anampses meleagrides,2,2,Invertivore,coral,3.5,22,Day,3,3
Anampses neoguinaicus,2,2,Invertivore,coral,3.5,20,Day,3,3
Anampses twistii,2,2,Invertivore,coral,3.5,18,Day,3,3
Anarrhichthys ocellatus,1,1,Invertivore,rock,3.5,240,Day,3,6
Anisotremus caesius,3,2,Invertivore,coral,3.4,30,Night,3,3
Anisotremus davidsonii,1,1,Piscivore,rock,3.5,58,Day,3,5
Anisotremus interruptus,3,2,Invertivore,coral,3.5,51,Night,3,5
Anisotremus scapularis,3,2,Invertivore,coral,3.3,40,Night,3,4
Anisotremus surinamensis,3,2,Invertivore,coral,3.3,76,Night,3,5
Anisotremus taeniatus,3,2,Invertivore,coral,4.2,31,Night,5,4
Anisotremus virginicus,3,2,Invertivore,coral,3.4,40.6,Night,3,4
Anoplocapros amygdaloides,1,2,Invertivore,rock,3.3,39,Day,3,4
Anoplocapros inermis,1,2,Invertivore,rock,3.4,37,Day,3,4
Anoplocapros lenticularis,1,2,Invertivore,rock,3.3,33,Day,3,4
Anyperodon leucogrammicus,1,2,Piscivore,coral,3.9,65,Day,4,5
Aphareus furca,1,2,Piscivore,coral,4.1,70,Day,5,5
Aphareus rutilans,1,2,Piscivore,rock,4.1,70,Day,5,5
Aploactisoma milesii,1,1,Invertivore,rock,3.4,23,Day,3,3
Aplodactylus arctidens,2,2,Grazer,rock,2,65,Day,1,5
Aplodactylus etheridgii,2,2,Grazer,rock,2,45,Day,1,4
Aplodactylus lophodon,2,2,Grazer,rock,2,45,Day,1,4
Aplodactylus westralis,2,2,Grazer,rock,2,63,Day,1,5
Ostorhinchus apogonoides,2,3,Invertivore,coral,3.490581286,10.15238095,Night,3,2
Apogon atradorsatus,2,3,Invertivore,coral,3.5,8.9,Night,3,2
Apogon atricaudus,2,3,Invertivore,coral,3.5,8,Night,3,2
Apogon binotatus,2,3,Invertivore,coral,3.4,13,Night,3,2
Ostorhinchus chrysotaenia,2,3,Invertivore,coral,3.6,12,Night,4,2
Apogon dovii,2,3,Invertivore,coral,3.4,7.5,Night,3,2
Ostorhinchus fasciatus,2,3,Invertivore,rock,3.6,10.3,Night,4,2
Apogon imberbis,3,3,Planktivore,rock,3.9,15,Night,4,2
Apogon lachneri,2,3,Invertivore,coral,3.4,6.5,Night,3,1
Apogon maculatus,2,3,Invertivore,coral,3.5,11.1,Night,3,2
Ostorhinchus multilineatus,2,3,Invertivore,coral,3.5,10,Night,3,2
Apogon pacificus,2,3,Invertivore,coral,3.4,10,Night,3,2
Apogon retrosella,2,3,Invertivore,coral,3.5,10,Night,3,2
Ostorhinchus schlegeli,2,3,Invertivore,rock,3.5,10,Night,3,2
Apogon townsendi,2,3,Invertivore,coral,3.4,6.5,Night,3,1
Apogonichthyoides pseudotaeniatus,3,1,Planktivore,sand,3.5,14,Night,3,2
Apogonichthyoides timorensis,1,2,Invertivore,sand,3.4,9,Night,3,2
Apolemichthys trimaculatus,1,2,Invertivore,coral,2.6,26,Day,2,3
Aprion virescens,1,3,Piscivore,coral,4,112,Day,4,6
Aracana aurita,1,2,Invertivore,rock,3.3,25,Day,3,3
Aracana ornata,1,2,Invertivore,rock,3.2,15,Day,3,2
Archamia bleekeri,3,1,Planktivore,coral,3.73,10,Night,4,2
Arenigobius frenatus,1,1,Invertivore,sand,2.8,18,Day,2,3
Argyrosomus japonicus,3,1,Piscivore,rock,4.5,181,Night,5,6
Arnoglossus bassensis,1,1,Invertivore,sand,3.6,25,Day,4,3
Arothron caeruleopunctatus,1,2,Invertivore,coral,3.226736111,54.14285714,Day,3,5
Arothron diadematus,1,2,Invertivore,coral,3.3,30,Day,3,3
Arothron hispidus,1,2,Invertivore,coral,3.1,50,Day,3,4
Arothron manilensis,1,2,Invertivore,coral,3.5,31,Day,3,4
Arothron mappa,1,2,Omnivore,coral,2.8,65,Day,2,5
Arothron meleagris,1,2,Invertivore,coral,3.4,50,Day,3,4
Arothron nigropunctatus,1,2,Omnivore,coral,3.3,33,Day,3,4
Arothron stellatus,1,2,Invertivore,coral,3.3,120,Day,3,6
Arripis trutta,3,4,Piscivore,water column,4.1,89,Day,5,6
Arripis truttacea,3,4,Piscivore,water column,4.1,96,Day,5,6
Arripis xylabion,3,4,Piscivore,water column,4.1,85,Day,5,6
Artedius harringtoni,1,1,Invertivore,rock,3.4,10,Day,3,2
Aspasmogaster tasmaniensis,1,1,Invertivore,rock,3.3,8,Day,3,2
Aspidontus dussumieri,1,1,Grazer,coral,2,12,Day,1,2
Aspidontus taeniatus,1,1,Grazer,coral,3.8,11.5,Day,4,2
Assessor flavissimus,1,2,Invertivore,coral,3.4,5.5,Day,3,1
Assessor macneilli,1,2,Invertivore,coral,3.4,6,Day,3,1
Assessor randalli,1,2,Invertivore,coral,3.5,4,Day,3,1
Assiculus punctatus,1,1,Invertivore,coral,3.6,8,Night,4,2
Asterorhombus intermedius,1,1,Piscivore,sand,4.2,20,Day,5,3
Asterropteryx atripes,1,1,Grazer,sand,3.2,3,Day,3,1
Asterropteryx semipunctata,1,1,Grazer,sand,2.36,4.5,Day,1,1
Asterropteryx striata,1,1,Grazer,sand,3.4,2.5,Day,3,1
Atherina hepsetus,3,4,Grazer,water column,3.2,20,Day,3,3
Atherina presbyter,3,4,Grazer,water column,3.7,20,Day,4,3
Atherinomorus vaigiensis,3,4,Invertivore,water column,3.2,17,Day,3,3
Atractoscion aequidens,3,1,Piscivore,rock,3.9,130,Night,4,6
Atrosalarias holomelas,1,1,Grazer,coral,3,10,Day,2,2
Atule mate,3,4,Piscivore,water column,4.5,30,Day,5,3
Atypichthys latus,3,3,Invertivore,coral,3.5,30,Day,3,3
Atypichthys strigatus,3,3,Planktivore,rock,3.4,25,Day,3,3
Aulacocephalus temminckii,1,2,Piscivore,coral,4,40,Day,4,4
Aulorhynchus flavidus,3,2,Planktivore,rock,3.4,18,Day,3,3
Aulostomus chinensis,1,2,Piscivore,coral,4.2,80,Day,5,5
Aulostomus maculatus,1,2,Piscivore,coral,4.3,100,Day,5,6
Aulostomus strigosus,1,2,Piscivore,rock,4.2,75,Day,5,5
Austrolabrus maculatus,1,2,Invertivore,rock,3.4,17,Day,3,3
Axoclinus lucillae,1,1,Invertivore,coral,2.7,3,Day,2,1
Balistapus undulatus,1,2,Invertivore,coral,3.4,30,Day,3,3
Balistes capriscus,1,2,Invertivore,sand,3.6,60,Day,4,5
Balistes polylepis,1,2,Invertivore,sand,3.3,76,Day,3,5
Balistes vetula,1,2,Invertivore,sand,3.4,60,Day,3,5
Balistoides conspicillum,1,2,Invertivore,coral,3.3,50,Day,3,4
Balistoides viridescens,1,2,Invertivore,coral,3.3,75,Day,3,5
Bathygobius krefftii,1,1,Invertivore,sand,2.8,12,Day,2,2
Bathystethus cultratus,3,3,Invertivore,coral,3.2,30,Day,3,3
Belone belone,2,4,Piscivore,water column,4.2,93,Day,5,6
Belonoperca chabanaudi,1,3,Invertivore,coral,4,15,Night,4,2
Blenniella chrysospilos,1,1,Grazer,coral,2.5,13,Day,1,2
Bodianus albotaeniatus,1,2,Invertivore,coral,3.130447761,52,Day,3,5
Bodianus anthioides,1,2,Invertivore,coral,3.4,24,Day,3,3
Bodianus axillaris,1,2,Invertivore,coral,3.4,20,Day,3,3
Bodianus bilunulatus,1,2,Invertivore,coral,3.4,55,Day,3,5
Bodianus diana,1,2,Invertivore,coral,3.5,20,Day,3,3
Bodianus dictynna,1,2,Invertivore,coral,3.5,25,Day,3,3
Bodianus diplotaenia,1,2,Invertivore,coral,3.4,76,Day,3,5
Bodianus eclancheri,1,2,Invertivore,coral,2.7,61,Day,2,5
Bodianus frenchii,1,2,Invertivore,rock,3.5,49,Day,3,4
Bodianus loxozonus,1,2,Invertivore,coral,3.6,47,Day,4,4
Bodianus mesothorax,1,2,Invertivore,coral,3.2,25,Day,3,3
Bodianus perditio,1,2,Invertivore,rock,3.5,80,Day,3,5
Bodianus rufus,1,2,Invertivore,coral,3.4,40,Day,3,4
Bodianus scrofa,1,2,Invertivore,rock,3.5,43,Day,3,4
Bodianus unimaculatus,1,2,Invertivore,rock,3.5,45,Day,3,4
Bolbometopon muricatum,3,2,Microphage,coral,2.7,130,Day,2,6
Boops boops,3,3,Invertivore,rock,3,36,Day,2,4
Boopsoidea inornata,2,2,Grazer,rock,3.3,40,Day,3,4
Boreogadus saida,2,2,Invertivore,coral,3.1,40,Night,3,4
Bothragonus occidentalis,1,1,Invertivore,rock,3.1,7,Night,3,1
Bothus leopardinus,1,1,Piscivore,coral,3.7,15,Day,4,2
Bothus mancus,1,1,Piscivore,coral,4.4,45,Day,5,4
Bothus pantherinus,1,1,Piscivore,coral,3.5,39,Day,3,4
Bothus podas,1,1,Invertivore,sand,3.4,45,Day,3,4
Bovichtus angustifrons,1,1,Invertivore,rock,3.6,28,Day,4,3
Bovichtus argentinus,1,1,Invertivore,rock,3.5,33,Day,3,4
Brachaluteres jacksonianus,2,2,Grazer,rock,2.9,10,Day,2,2
Brachyistius frenatus,3,3,Invertivore,rock,3.5,22,Day,3,3
Bryaninops amplus,1,1,Invertivore,coral,3.2,4.6,Day,3,1
Bryaninops erythrops,1,1,Invertivore,coral,3,2.3,Day,2,1
Bryaninops loki,1,1,Planktivore,coral,3.2,4.5,Day,3,1
Bryaninops natans,1,1,Invertivore,coral,3,2.5,Day,2,1
Bryaninops nexus,1,1,Planktivore,coral,3.1,2.3,Day,3,1
Bryaninops yongei,1,1,Invertivore,coral,3.087137681,3.133333333,Day,3,1
Caesio caerulaurea,3,3,Planktivore,coral,3.4,35,Day,3,4
Caesio cuning,3,3,Planktivore,coral,3.4,60,Day,3,5
Caesio lunaris,3,3,Planktivore,coral,3.4,40,Day,3,4
Caesio striata,3,3,Planktivore,coral,3.4,25,Day,3,3
Caesio suevica,3,3,Planktivore,coral,3.4,35,Day,3,4
Caesio teres,3,3,Planktivore,coral,3.4,40,Day,3,4
Caesio varilineata,3,3,Planktivore,coral,3.4,40,Day,3,4
Caesio xanthonota,3,3,Planktivore,coral,3.4,40,Day,3,4
Caesioperca lepidoptera,3,3,Planktivore,rock,3.1,30,Day,3,3
Caesioperca rasor,3,3,Planktivore,rock,3.6,26,Day,4,3
Caesioscorpis theagenes,3,2,Planktivore,rock,3,16,Day,2,3
Caffrogobius nudiceps,1,1,Invertivore,sand,3.4,14,Day,3,2
Calamus bajonado,2,2,Invertivore,coral,3.2,76,Day,3,5
Calamus brachysomus,2,2,Invertivore,coral,3.5,61,Day,3,5
Calamus calamus,2,2,Invertivore,coral,3.3,56,Day,3,5
Calamus pennatula,2,2,Invertivore,coral,3.5,37,Day,3,4
Calamus taurinus,2,2,Invertivore,coral,3.3,40,Day,3,4
Callanthias australis,2,3,Planktivore,rock,3.1,49,Day,3,4
Calliclinus geniguttatus,1,1,Invertivore,rock,3.4,12.2,Day,3,2
Callionymus lyra,1,1,Invertivore,sand,3.3,30,Day,3,3
Calloplesiops altivelis,1,2,Invertivore,coral,4,20,Night,4,3
Calotomus carolinus,2,2,Microphage,coral,2,54,Day,1,5
Calotomus japonicus,2,2,Microphage,rock,2,39,Day,1,4
Calotomus spinidens,2,2,Microphage,coral,2,30,Day,1,3
Calotomus viridescens,2,2,Microphage,coral,2,21,Day,1,3
Cantherhines dumerilii,2,2,Corallivore,coral,3.1,38,Day,3,4
Cantherhines fronticinctus,1,2,Invertivore,coral,3.5,25,Day,3,3
Cantherhines longicaudus,1,2,Invertivore,coral,3,13.2,Day,2,2
Cantherhines macrocerus,2,2,Invertivore,coral,3,46,Day,2,4
Cantherhines pardalis,1,2,Invertivore,coral,3.5,25,Day,3,3
Cantherhines pullus,1,2,Omnivore,coral,2.6,20,Day,2,3
Cantherhines sandwichiensis,1,2,Invertivore,coral,2.7,19.3,Day,2,3
Cantheschenia grandisquamis,1,2,Omnivore,coral,2.9,26,Day,2,3
Canthidermis maculata,1,2,Invertivore,coral,3.5,50,Day,3,4
Canthidermis sufflamen,1,2,Invertivore,coral,3.2,65,Day,3,5
Canthigaster amboinensis,1,2,Omnivore,coral,2.9,15,Day,2,2
Canthigaster axiologus,1,2,Invertivore,coral,2.9,10.1,Day,2,2
Canthigaster bennetti,1,2,Grazer,coral,2.5,10,Day,1,2
Canthigaster callisterna,1,2,Omnivore,coral,3,23,Day,2,3
Canthigaster capistrata,1,2,Omnivore,rock,3,22,Day,2,3
Canthigaster compressa,1,2,Invertivore,coral,3,12,Day,2,2
Canthigaster coronata,1,2,Invertivore,coral,3.1,14,Day,3,2
Canthigaster epilampra,1,2,Invertivore,coral,2.957118056,12.69230769,Day,2,2
Canthigaster figueiredoi,1,2,Omnivore,coral,3.1,12,Day,3,2
Canthigaster jactator,1,2,Omnivore,coral,2.9,9,Day,2,2
Canthigaster janthinoptera,1,2,Omnivore,coral,3.1,9,Day,3,2
Canthigaster papua,1,2,Omnivore,coral,3,10,Day,2,2
Canthigaster punctatissima,1,2,Omnivore,coral,3,9,Day,2,2
Canthigaster rivulata,1,2,Omnivore,rock,3,18,Day,2,3
Canthigaster rostrata,1,2,Omnivore,coral,3,12,Day,2,2
Canthigaster smithae,1,2,Omnivore,coral,3,13,Day,2,2
Canthigaster valentini,1,2,Omnivore,coral,2.8,11,Day,2,2
Caprodon longimanus,3,3,Planktivore,rock,3.9,50,Day,4,4
Caracanthus maculatus,1,1,Invertivore,coral,3.2,5,Day,3,1
Caracanthus typicus,1,1,Invertivore,coral,3.1,2.9,Day,3,1
Caracanthus unipinna,1,1,Invertivore,coral,3.6,5,Day,4,1
Carangoides bajad,3,4,Piscivore,water column,4.5,55,Day,5,5
Carangoides chrysophrys,3,4,Piscivore,water column,4.4,72,Day,5,5
Carangoides ferdau,2,4,Piscivore,water column,4.5,70,Day,5,5
Carangoides fulvoguttatus,2,4,Piscivore,water column,4.4,120,Day,5,6
Carangoides gymnostethus,3,4,Piscivore,water column,4.1,90,Day,5,6
Carangoides orthogrammus,2,4,Piscivore,water column,4.5,75,Day,5,5
Carangoides plagiotaenia,2,4,Piscivore,water column,4,50,Day,4,4
Caranx caballus,3,4,Piscivore,water column,4.1,55,Day,5,5
Caranx caninus,3,4,Piscivore,water column,3.9,101,Day,4,6
Caranx crysos,3,4,Piscivore,water column,4.4,70,Day,5,5
Caranx ignobilis,2,4,Piscivore,water column,4.2,170,Day,5,6
Caranx latus,1,1,Piscivore,coral,4.16,110,Day,5,6
Caranx lugubris,2,4,Piscivore,water column,4.5,100,Day,5,6
Caranx melampygus,2,4,Piscivore,water column,4.5,117,Day,5,6
Caranx papuensis,3,4,Piscivore,water column,4,88,Day,4,6
Caranx sexfasciatus,3,4,Piscivore,water column,4.5,120,Day,5,6
Caulolatilus princeps,1,2,Piscivore,sand,3.9,102,Night,4,6
Centroberyx affinis,3,3,Piscivore,rock,3.8,51,Night,4,5
Centroberyx gerrardi,3,3,Piscivore,rock,4.1,66,Night,5,5
Centroberyx lineatus,3,3,Piscivore,rock,4.2,46,Night,5,4
Centrogenys vaigiensis,1,1,Piscivore,rock,3.9,25,Day,4,3
Centrolabrus exoletus,1,2,Invertivore,rock,3.5,18,Day,3,3
Centropogon australis,1,1,Invertivore,rock,3.2,15,Day,3,2
Centropyge acanthops,1,2,Grazer,coral,2.9,8,Day,2,2
Centropyge argi,1,2,Grazer,coral,2,8,Day,1,2
Centropyge bicolor,1,2,Omnivore,coral,2.7,11,Day,2,2
Centropyge bispinosa,1,2,Omnivore,coral,2.8,10,Day,2,2
Centropyge eibli,1,2,Omnivore,coral,2.7,15,Day,2,2
Centropyge ferrugata,1,2,Omnivore,coral,2.8,10,Day,2,2
Centropyge fisheri,1,2,Grazer,coral,2.9,6,Day,2,1
Centropyge flavissima,1,2,Grazer,coral,2.8,14,Day,2,2
Centropyge heraldi,1,2,Grazer,coral,2.8,10,Day,2,2
Centropyge hotumatua,1,2,Grazer,coral,2.8,8,Day,2,2
Centropyge joculator,1,2,Grazer,coral,2.8,9,Day,2,2
Centropyge loriculus,1,2,Grazer,coral,2.8,15,Day,2,2
Centropyge multispinis,1,2,Omnivore,coral,2.8,14,Day,2,2
Centropyge nox,1,2,Grazer,coral,2.8,10,Day,2,2
Centropyge tibicen,1,2,Grazer,coral,2.8,19,Day,2,3
Centropyge vrolikii,1,2,Grazer,coral,2.8,12,Day,2,2
Cephalopholis argus,1,2,Piscivore,coral,4.5,60,Day,5,5
Cephalopholis boenak,1,2,Piscivore,coral,4.2,30,Day,5,3
Cephalopholis cruentata,1,2,Piscivore,coral,4.2,42.6,Day,5,4
Cephalopholis cyanostigma,1,2,Piscivore,coral,4.2,40,Day,5,4
Cephalopholis formosa,1,2,Piscivore,coral,4.1,34,Day,5,4
Cephalopholis fulva,1,2,Piscivore,coral,4.1,41,Day,5,4
Cephalopholis hemistiktos,1,2,Piscivore,coral,4.1,35,Day,5,4
Cephalopholis leopardus,1,2,Piscivore,coral,4,24,Day,4,3
Cephalopholis microprion,1,2,Piscivore,coral,4,25,Day,4,3
Cephalopholis miniata,1,2,Piscivore,coral,4.4,45,Day,5,4
Cephalopholis panamensis,1,2,Piscivore,rock,4.1,31,Day,5,4
Cephalopholis sexmaculata,1,2,Piscivore,coral,4.5,50,Day,5,4
Cephalopholis sonnerati,1,2,Piscivore,coral,3.8,57,Day,4,5
Cephalopholis spiloparaea,1,2,Piscivore,coral,4.1,30,Day,5,3
Cephalopholis urodeta,1,2,Piscivore,coral,4,28,Day,4,3
Cetoscarus bicolor,1,2,Microphage,coral,2,90,Day,1,6
