"SPECIES_NAME" "species"
"95" "Cephalopholis_leopardus" "Cephalopholis_leopardus"
"96" "Heniochus_pleurotaenia" "Heniochus_pleurotaenia"
"97" "Myripristis_spp." "Myripristis_spp."
"98" "Parupeneus_crassilabris" "Parupeneus_crassilabris"
"99" "Hemigymnus_fasciatus" "Hemigymnus_fasciatus"
"100" "Naso_elegans" "Naso_elegans"
"101" "Aulostomus_chinensis" "Aulostomus_chinensis"
"102" "Tylosurus_crocodilus" "Tylosurus_crocodilus"
"103" "Pomacentrus_amboinensis" "Pomacentrus_amboinensis"
"104" "Ostorhinchus_nigrofasciatus" "Ostorhinchus_nigrofasciatus"
"105" "Cheilodipterus_quinquelineatus" "Cheilodipterus_quinquelineatus"
"106" "Cirrhitichthys_oxycephalus" "Cirrhitichthys_oxycephalus"
"107" "Halichoeres_marginatus" "Halichoeres_marginatus"
"108" "Canthigaster_janthinoptera" "Canthigaster_janthinoptera"
"109" "Istigobius_decoratus" "Istigobius_decoratus"
"110" "Macropharyngodon_ornatus" "Macropharyngodon_ornatus"
"111" "Bodianus_diana" "Bodianus_diana"
"112" "Cheilodipterus_macrodon" "Cheilodipterus_macrodon"
"113" "Parupeneus_chrysopleuron" "Parupeneus_chrysopleuron"
"114" "Chaetodon_triangulum" "Chaetodon_triangulum"
"115" "Lutjanus_kasmira" "Lutjanus_kasmira"
"116" "Parupeneus_pleurostigma" "Parupeneus_pleurostigma"
"117" "Pempheris_vanicolensis" "Pempheris_vanicolensis"
"118" "Mulloidichthys_flavolineatus" "Mulloidichthys_flavolineatus"
"119" "Parupeneus_barberinoides" "Parupeneus_barberinoides"
"120" "Plectorhinchus_vittatus" "Plectorhinchus_vittatus"
"121" "Epinephelus_coeruleopunctatus" "Epinephelus_coeruleopunctatus"
"122" "Chlorurus_strongylocephalus" "Chlorurus_strongylocephalus"
"123" "Cephalopholis_miniata" "Cephalopholis_miniata"
"124" "Chaetodon_lineolatus" "Chaetodon_lineolatus"
"125" "Lutjanus_decussatus" "Lutjanus_decussatus"
"126" "Mulloidichthys_vanicolensis" "Mulloidichthys_vanicolensis"
"127" "Scarus_spp." "Scarus_spp."
"128" "Scorpaenopsis_oxycephala" "Scorpaenopsis_oxycephala"
"129" "Chrysiptera_brownriggii" "Chrysiptera_brownriggii"
"130" "Macropharyngodon_negrosensis" "Macropharyngodon_negrosensis"
"131" "Amblyglyphidodon_spp." "Amblyglyphidodon_spp."
"132" "Chaetodon_citrinellus" "Chaetodon_citrinellus"
"133" "Chromis_opercularis" "Chromis_opercularis"
"134" "Corythoichthys_intestinalis" "Corythoichthys_intestinalis"
"135" "Stethojulis_trilineata" "Stethojulis_trilineata"
"136" "Parapercis_millepunctata" "Parapercis_millepunctata"
"137" "Abudefduf_vaigiensis" "Abudefduf_vaigiensis"
"138" "Ctenochaetus_striatus" "Ctenochaetus_striatus"
"139" "Lutjanus_fulvus" "Lutjanus_fulvus"
"140" "Caesio_lunaris" "Caesio_lunaris"
"141" "Scarus_rubroviolaceus" "Scarus_rubroviolaceus"
"142" "Acanthurus_maculiceps" "Acanthurus_maculiceps"
"143" "Lutjanus_monostigma" "Lutjanus_monostigma"
"144" "Naso_spp." "Naso_spp."
"145" "Parupeneus_barberinus" "Parupeneus_barberinus"
"146" "Acanthurus_lineatus" "Acanthurus_lineatus"
"147" "Kyphosus_cinerascens" "Kyphosus_cinerascens"
"148" "Kyphosus_spp." "Kyphosus_spp."
"149" "Macolor_niger" "Macolor_niger"
"150" "Canthigaster_smithae" "Canthigaster_smithae"
"151" "Chromis_xanthochira" "Chromis_xanthochira"
"152" "Synodus_variegatus" "Synodus_variegatus"
"153" "Ostracion_meleagris" "Ostracion_meleagris"
"154" "Chaetodon_ephippium" "Chaetodon_ephippium"
"155" "Cheilinus_fasciatus" "Cheilinus_fasciatus"
"156" "Naso_lituratus" "Naso_lituratus"
"157" "Myripristis_berndti" "Myripristis_berndti"
"158" "Scarus_frenatus" "Scarus_frenatus"
"159" "Novaculichthys_taeniourus" "Novaculichthys_taeniourus"
"160" "Pomacanthus_imperator" "Pomacanthus_imperator"
"161" "Chaetodon_interruptus" "Chaetodon_interruptus"
"162" "Caesio_xanthonota" "Caesio_xanthonota"
"163" "Siganus_puelloides" "Siganus_puelloides"
"164" "Caranx_melampygus" "Caranx_melampygus"
"165" "Scarus_ghobban" "Scarus_ghobban"
"166" "Fistularia_commersonii" "Fistularia_commersonii"
"167" "Gymnothorax_spp." "Gymnothorax_spp."
"168" "Cetoscarus_bicolor" "Cetoscarus_bicolor"
"169" "Pomacentrus_moluccensis" "Pomacentrus_moluccensis"
"170" "Acanthurus_nigrofuscus" "Acanthurus_nigrofuscus"
"171" "Amblyeleotris_steinitzi" "Amblyeleotris_steinitzi"
"172" "Chaetodon_andamanensis" "Chaetodon_andamanensis"
"173" "Cirrhilabrus_katherinae" "Cirrhilabrus_katherinae"
"174" "Parupeneus_indicus" "Parupeneus_indicus"
"175" "Plagiotremus_tapeinosoma" "Plagiotremus_tapeinosoma"
"176" "Thalassoma_hardwicke" "Thalassoma_hardwicke"
"177" "Chaetodon_auriga" "Chaetodon_auriga"
"178" "Chaetodon_decussatus" "Chaetodon_decussatus"
"179" "Epinephelus_merra" "Epinephelus_merra"
"180" "Parapercis_clathrata" "Parapercis_clathrata"
"181" "Neopomacentrus_azysron" "Neopomacentrus_azysron"
"182" "Amblygobius_phalaena" "Amblygobius_phalaena"
"183" "Valenciennea_sexguttata" "Valenciennea_sexguttata"
"184" "Plagiotremus_rhinorhynchos" "Plagiotremus_rhinorhynchos"
"185" "Upeneus_tragula" "Upeneus_tragula"
"186" "Chaetodon_trifascialis" "Chaetodon_trifascialis"
"187" "Myripristis_violacea" "Myripristis_violacea"
"188" "Scolopsis_ciliata" "Scolopsis_ciliata"
"189" "Plectorhinchus_spp." "Plectorhinchus_spp."
"190" "Scolopsis_lineata" "Scolopsis_lineata"
"191" "Siganus_spinus" "Siganus_spinus"
"192" "Heniochus_singularius" "Heniochus_singularius"
"193" "Lutjanus_fulviflamma" "Lutjanus_fulviflamma"
"194" "Apogon_spp." "Apogon_spp."
"195" "Halichoeres_chrysus" "Halichoeres_chrysus"
"196" "Parapriacanthus_ransonneti" "Parapriacanthus_ransonneti"
"197" "Pomacentrus_adelus" "Pomacentrus_adelus"
"198" "Parapercis_spp." "Parapercis_spp."
"199" "Pristiapogon_kallopterus" "Pristiapogon_kallopterus"
"200" "Halichoeres_melanurus" "Halichoeres_melanurus"
"201" "Oxycheilinus_orientalis" "Oxycheilinus_orientalis"
"202" "Ostorhinchus_aureus" "Ostorhinchus_aureus"
"203" "Bodianus_mesothorax" "Bodianus_mesothorax"
"204" "Oxymonacanthus_longirostris" "Oxymonacanthus_longirostris"
"205" "Amblyglyphidodon_batunai" "Amblyglyphidodon_batunai"
"206" "Pempheris_mangula" "Pempheris_mangula"
"207" "Arothron_nigropunctatus" "Arothron_nigropunctatus"
"208" "Halichoeres_hartzfeldii" "Halichoeres_hartzfeldii"
"209" "Pomacentrus_spp." "Pomacentrus_spp."
"210" "Rhinecanthus_rectangulus" "Rhinecanthus_rectangulus"
"211" "Pterois_radiata" "Pterois_radiata"
"212" "Diodon_liturosus" "Diodon_liturosus"
"213" "Amblyglyphidodon_leucogaster" "Amblyglyphidodon_leucogaster"
"214" "Chaetodon_xanthurus" "Chaetodon_xanthurus"
"215" "Pygoplites_diacanthus" "Pygoplites_diacanthus"
"216" "Plectorhinchus_picus" "Plectorhinchus_picus"
"217" "Pomacentrus_indicus" "Pomacentrus_indicus"
"218" "Chromis_atripectoralis" "Chromis_atripectoralis"
"219" "Chaetodon_melannotus" "Chaetodon_melannotus"
"220" "Chlorurus_microrhinos" "Chlorurus_microrhinos"
"221" "Abudefduf_notatus" "Abudefduf_notatus"
"222" "Pseudodax_moluccanus" "Pseudodax_moluccanus"
"223" "Parascolopsis_spp." "Parascolopsis_spp."
"224" "Cirripectes_castaneus" "Cirripectes_castaneus"
"225" "Gobiodon_quinquestrigatus" "Gobiodon_quinquestrigatus"
"226" "Amblyglyphidodon_aureus" "Amblyglyphidodon_aureus"
"227" "Ptereleotris_evides" "Ptereleotris_evides"
"228" "Cantherhines_pardalis" "Cantherhines_pardalis"
"229" "Cheilinus_oxycephalus" "Cheilinus_oxycephalus"
"230" "Neoniphon_sammara" "Neoniphon_sammara"
"231" "Plectorhinchus_chaetodonoides" "Plectorhinchus_chaetodonoides"
"232" "Caesio_teres" "Caesio_teres"
"233" "Cantherhines_spp." "Cantherhines_spp."
"234" "Chaetodon_rafflesii" "Chaetodon_rafflesii"
"235" "Myripristis_kuntee" "Myripristis_kuntee"
"236" "Cheilinus_spp." "Cheilinus_spp."
"237" "Pseudanthias_evansi" "Pseudanthias_evansi"
"238" "Acanthurus_thompsoni" "Acanthurus_thompsoni"
"239" "Cirripectes_spp." "Cirripectes_spp."
"240" "Calloplesiops_altivelis" "Calloplesiops_altivelis"
"241" "Anyperodon_leucogrammicus" "Anyperodon_leucogrammicus"
"242" "Amphiprion_ocellaris" "Amphiprion_ocellaris"
"243" "Siganus_guttatus" "Siganus_guttatus"
"244" "Pomacentrus_philippinus" "Pomacentrus_philippinus"
"245" "Saurida_gracilis" "Saurida_gracilis"
"246" "Amphiprion_ephippium" "Amphiprion_ephippium"
"247" "Amphiprion_frenatus" "Amphiprion_frenatus"
"248" "Coris_centralis" "Coris_centralis"
"249" "Halichoeres_richmondi" "Halichoeres_richmondi"
"250" "Naso_brevirostris" "Naso_brevirostris"
"251" "Chromis_flavipectoralis" "Chromis_flavipectoralis"
"252" "Neoglyphidodon_nigroris" "Neoglyphidodon_nigroris"
"253" "Scarus_altipinnis" "Scarus_altipinnis"
"254" "Epinephelus_spilotoceps" "Epinephelus_spilotoceps"
"255" "Gymnothorax_javanicus" "Gymnothorax_javanicus"
"256" "Chaetodon_madagaskariensis" "Chaetodon_madagaskariensis"
"257" "Hemigymnus_melapterus" "Hemigymnus_melapterus"
"258" "Chaetodon_ulietensis" "Chaetodon_ulietensis"
"259" "Oxycheilinus_digrammus" "Oxycheilinus_digramma"
"260" "Forcipiger_longirostris" "Forcipiger_longirostris"
"261" "Pomacanthus_semicirculatus" "Pomacanthus_semicirculatus"
"262" "Gymnothorax_favagineus" "Gymnothorax_favagineus"
"263" "Chaetodon_spp." "Chaetodon_spp."
"264" "Synodus_spp." "Synodus_spp."
"265" "Scarus_dimidiatus" "Scarus_dimidiatus"
"266" "Acanthurus_triostegus" "Acanthurus_triostegus"
"267" "Scarus_tricolor" "Scarus_tricolor"
"268" "Plagiotremus_phenax" "Plagiotremus_phenax"
"269" "Lutjanus_bohar" "Lutjanus_bohar"
"270" "Anampses_spp." "Anampses_spp."
"271" "Pempheris_spp." "Pempheris_spp."
"272" "Chaetodon_lunula" "Chaetodon_lunula"
"273" "Monodactylus_argenteus" "Monodactylus_argenteus"
"274" "Cephalopholis_spp." "Cephalopholis_spp."
"275" "Lutjanus_spp." "Lutjanus_spp."
"276" "Neoniphon_opercularis" "Neoniphon_opercularis"
"277" "Cantherhines_dumerilii" "Cantherhines_dumerilii"
"278" "Heniochus_acuminatus" "Heniochus_acuminatus"
"279" "Stethojulis_interrupta" "Stethojulis_interrupta"
"280" "Scarus_quoyi" "Scarus_quoyi"
"281" "Zebrasoma_spp." "Zebrasoma_spp."
"282" "Acanthurus_tennentii" "Acanthurus_tennentii"
"283" "Gymnothorax_flavimarginatus" "Gymnothorax_flavimarginatus"
"284" "Ecsenius_lineatus" "Ecsenius_lineatus"
"285" "Echidna_nebulosa" "Echidna_nebulosa"
"286" "Cheilodipterus_spp." "Cheilodipterus_spp."
"287" "Dascyllus_aruanus" "Dascyllus_aruanus"
"288" "Canthigaster_axiologus" "Canthigaster_axiologus"
"289" "Naso_unicornis" "Naso_unicornis"
"290" "Diploprion_bifasciatum" "Diploprion_bifasciatum"
"291" "Paracanthurus_hepatus" "Paracanthurus_hepatus"
"292" "Parupeneus_spp." "Parupeneus_spp."
"293" "Diproctacanthus_xanthurus" "Diproctacanthus_xanthurus"
"294" "Dischistodus_perspicillatus" "Dischistodus_perspicillatus"
"295" "Dischistodus_prosopotaenia" "Dischistodus_prosopotaenia"
"296" "Chromis_analis" "Chromis_analis"
"297" "Diagramma_labiosum" "Diagramma_labiosum"
"298" "Chaetodon_bennetti" "Chaetodon_bennetti"
"299" "Aphareus_furca" "Aphareus_furca"
"300" "Canthigaster_spp." "Canthigaster_spp."
"301" "Sargocentron_spp." "Sargocentron_spp."
"302" "Siganus_spp." "Siganus_spp."
"303" "Synodus_ulae" "Synodus_ulae"
"304" "Sargocentron_diadema" "Sargocentron_diadema"
"305" "Variola_louti" "Variola_louti"
"306" "Ecsenius_bicolor" "Ecsenius_bicolor"
"307" "Neopomacentrus_bankieri" "Neopomacentrus_bankieri"
"308" "Priacanthus_blochii" "Priacanthus_blochii"
"309" "Ostorhinchus_monospilus" "Ostorhinchus_monospilus"
"310" "Taeniamia_fucata" "Taeniamia_fucata"
"311" "Gnatholepis_anjerensis" "Gnatholepis_anjerensis"
"312" "Halichoeres_timorensis" "Halichoeres_timorensis"
"313" "Pomacentrus_pavo" "Pomacentrus_pavo"
"314" "Ptereleotris_microlepis" "Ptereleotris_microlepis"
"315" "Lutjanus_biguttatus" "Lutjanus_biguttatus"
"316" "Caesio_caerulaurea" "Caesio_caerulaurea"
"317" "Epinephelus_longispinis" "Epinephelus_longispinis"
"318" "Scolopsis_aurata" "Scolopsis_aurata"
"319" "Ecsenius_midas" "Ecsenius_midas"
"320" "Myripristis_adusta" "Myripristis_adusta"
"321" "Anampses_twistii" "Anampses_twistii"
"322" "Balistoides_viridescens" "Balistoides_viridescens"
"323" "Helcogramma_striatum" "Helcogramma_striata"
"324" "Anampses_caeruleopunctatus" "Anampses_caeruleopunctatus"
"325" "Synanceia_verrucosa" "Synanceia_verrucosa"
"326" "Chaetodon_unimaculatus" "Chaetodon_unimaculatus"
"327" "Hologymnosus_doliatus" "Hologymnosus_doliatus"
"328" "Parupeneus_multifasciatus" "Parupeneus_multifasciatus"
"329" "Balistoides_conspicillum" "Balistoides_conspicillum"
"330" "Plectorhinchus_gibbosus" "Plectorhinchus_gibbosus"
"331" "Amblyglyphidodon_curacao" "Amblyglyphidodon_curacao"
"332" "Chromis_margaritifer" "Chromis_margaritifer"
"333" "Cirrhilabrus_beauperryi" "Cirrhilabrus_beauperryi"
"334" "Dascyllus_reticulatus" "Dascyllus_reticulatus"
"335" "Diademichthys_lineatus" "Diademichthys_lineatus"
"336" "Meiacanthus_atrodorsalis" "Meiacanthus_atrodorsalis"
"337" "Pomacentrus_brachialis" "Pomacentrus_brachialis"
"338" "Pomacentrus_cuneatus" "Pomacentrus_cuneatus"
"339" "Pseudanthias_huchtii" "Pseudanthias_huchtii"
"340" "Acanthochromis_polyacanthus" "Acanthochromis_polyacanthus"
"341" "Apogon_multilineatus" "Ostorhinchus_multilineatus"
"342" "Chromis_lepidolepis" "Chromis_lepidolepis"
"343" "Heniochus_varius" "Heniochus_varius"
"344" "Neoglyphidodon_melas" "Neoglyphidodon_melas"
"345" "Pomacentrus_lepidogenys" "Pomacentrus_lepidogenys"
"346" "Pomacentrus_reidi" "Pomacentrus_reidi"
"347" "Premnas_biaculeatus" "Premnas_biaculeatus"
"348" "Canthigaster_papua" "Canthigaster_papua"
"349" "Centropyge_tibicen" "Centropyge_tibicen"
"350" "Naso_caeruleacauda" "Naso_caeruleacauda"
"351" "Parapercis_australis" "Parapercis_australis"
"352" "Acanthurus_pyroferus" "Acanthurus_pyroferus"
"353" "Aspidontus_taeniatus" "Aspidontus_taeniatus"
"354" "Centropyge_bicolor" "Centropyge_bicolor"
"355" "Chaetodon_baronessa" "Chaetodon_baronessa"
"356" "Cheilodipterus_artus" "Cheilodipterus_artus"
"357" "Halichoeres_prosopeion" "Halichoeres_prosopeion"
"358" "Chrysiptera_rollandi" "Chrysiptera_rollandi"
"359" "Cirrhilabrus_cyanopleura" "Cirrhilabrus_cyanopleura"
"360" "Gnatholepis_cauerensis" "Gnatholepis_cauerensis"
"361" "Pomacentrus_coelestis" "Pomacentrus_coelestis"
"362" "Amphiprion_perideraion" "Amphiprion_perideraion"
"363" "Ostorhinchus_wassinki" "Ostorhinchus_wassinki"
"364" "Centropyge_vrolikii" "Centropyge_vrolikii"
"365" "Fusigobius_neophytus" "Fusigobius_neophytus"
"366" "Meiacanthus_grammistes" "Meiacanthus_grammistes"
"367" "Paraluteres_prionurus" "Paraluteres_prionurus"
"368" "Ctenogobiops_aurocingulus" "Ctenogobiops_aurocingulus"
"369" "Halichoeres_spp." "Halichoeres_spp."
"370" "Pervagor_janthinosoma" "Pervagor_janthinosoma"
"371" "Pristiapogon_exostigma" "Pristiapogon_exostigma"
"372" "Siganus_corallinus" "Siganus_corallinus"
"373" "Bodianus_dictynna" "Bodianus_dictynna"
"374" "Coris_batuensis" "Coris_batuensis"
"375" "Koumansetta_rainfordi" "Koumansetta_rainfordi"
"376" "Pomacentrus_nigromanus" "Pomacentrus_nigromanus"
"377" "Chaetodon_lunulatus" "Chaetodon_lunulatus"
"378" "Halichoeres_solorensis" "Halichoeres_solorensis"
"379" "Melichthys_niger" "Melichthys_niger"
"380" "Arothron_spp." "Arothron_spp."
"381" "Trimma_benjamini" "Trimma_benjamini"
"382" "Chromis_retrofasciata" "Chromis_retrofasciata"
"383" "Dunckerocampus_dactyliophorus" "Dunckerocampus_dactyliophorus"
"384" "Nectamia_spp." "Nectamia_spp."
"385" "Parapercis_xanthozona" "Parapercis_xanthozona"
"386" "Ostracion_solorensis" "Ostracion_solorense"
"387" "Pterocaesio_pisang" "Pterocaesio_pisang"
"388" "Fusigobius_spp." "Fusigobius_spp."
"389" "Cirrhitichthys_falco" "Cirrhitichthys_falco"
"390" "Macolor_macularis" "Macolor_macularis"
"391" "Naso_thynnoides" "Naso_thynnoides"
"392" "Pterocaesio_marri" "Pterocaesio_marri"
"393" "Gymnomuraena_zebra" "Gymnomuraena_zebra"
"394" "Asterropteryx_semipunctata" "Asterropteryx_semipunctata"
"395" "Eviota_prasites" "Eviota_prasites"
"396" "Synchiropus_spp." "Synchiropus_spp."
"397" "Canthigaster_bennetti" "Canthigaster_bennetti"
"398" "Canthigaster_compressa" "Canthigaster_compressa"
"399" "Oxycheilinus_bimaculatus" "Oxycheilinus_bimaculatus"
"400" "Pseudochromis_spp." "Pseudochromis_spp."
"401" "Lactoria_fornasini" "Lactoria_fornasini"
"402" "Apogon_chrysotaenia" "Ostorhinchus_chrysotaenia"
"403" "Scorpaenopsis_papuensis" "Scorpaenopsis_papuensis"
"404" "Cyclichthys_orbicularis" "Cyclichthys_orbicularis"
"405" "Scolopsis_temporalis" "Scolopsis_temporalis"
"406" "Acanthurus_olivaceus" "Acanthurus_olivaceus"
"407" "Arothron_manilensis" "Arothron_manilensis"
"408" "Pentapodus_emeryii" "Pentapodus_emeryii"
"409" "Rhinomuraena_quaesita" "Rhinomuraena_quaesita"
"410" "Gymnothorax_thyrsoideus" "Gymnothorax_thyrsoideus"
"411" "Myrichthys_maculosus" "Myrichthys_maculosus"
"412" "Amphiprion_sandaracinos" "Amphiprion_sandaracinos"
"413" "Corythoichthys_spp." "Corythoichthys_spp."
"414" "Pseudochromis_perspicillatus" "Pseudochromis_perspicillatus"
"415" "Acanthurus_mata" "Acanthurus_mata"
"416" "Plectorhinchus_flavomaculatus" "Plectorhinchus_flavomaculatus"
"417" "Trimma_spp." "Trimma_spp."
"418" "Fusigobius_duospilus" "Fusigobius_duospilus"
"419" "Fusigobius_inframaculatus" "Fusigobius_inframaculatus"
"420" "Pomacentrus_auriventris" "Pomacentrus_auriventris"
"421" "Pomacentrus_nagasakiensis" "Pomacentrus_nagasakiensis"
"422" "Macrodontogobius_wilburi" "Macrodontogobius_wilburi"
"423" "Neopomacentrus_spp." "Neopomacentrus_spp."
"424" "Pseudanthias_hypselosoma" "Pseudanthias_hypselosoma"
"425" "Ostorhinchus_cyanosoma" "Ostorhinchus_cyanosoma"
"426" "Genicanthus_lamarck" "Genicanthus_lamarck"
"427" "Melichthys_vidua" "Melichthys_vidua"
"428" "Chrysiptera_rex" "Chrysiptera_rex"
"429" "Macropharyngodon_meleagris" "Macropharyngodon_meleagris"
"430" "Coris_gaimard" "Coris_gaimard"
"431" "Labroides_pectoralis" "Labroides_pectoralis"
"432" "Pseudocheilinus_octotaenia" "Pseudocheilinus_octotaenia"
"433" "Chaetodon_punctatofasciatus" "Chaetodon_punctatofasciatus"
"434" "Gomphosus_varius" "Gomphosus_varius"
"435" "Acanthurus_nigricans" "Acanthurus_nigricans"
"436" "Amblyeleotris_guttata" "Amblyeleotris_guttata"
"437" "Chaetodon_adiergastos" "Chaetodon_adiergastos"
"438" "Heniochus_chrysostomus" "Heniochus_chrysostomus"
"439" "Pomacentrus_australis" "Pomacentrus_australis"
"440" "Scarus_psittacus" "Scarus_psittacus"
"441" "Chaetodon_aureofasciatus" "Chaetodon_aureofasciatus"
"442" "Macropharyngodon_choati" "Macropharyngodon_choati"
"443" "Pomacentrus_wardi" "Pomacentrus_wardi"
"444" "Stegastes_apicalis" "Stegastes_apicalis"
"445" "Stegastes_fasciolatus" "Stegastes_fasciolatus"
"446" "Chaetodon_plebeius" "Chaetodon_plebeius"
"447" "Coradion_chrysozonus" "Coradion_chrysozonus"
"448" "Halichoeres_biocellatus" "Halichoeres_biocellatus"
"449" "Meiacanthus_lineatus" "Meiacanthus_lineatus"
"450" "Chaetodon_rainfordi" "Chaetodon_rainfordi"
"451" "Thalassoma_lutescens" "Thalassoma_lutescens"
"452" "Chaetodon_flavirostris" "Chaetodon_flavirostris"
"453" "Chaetodontoplus_meredithi" "Chaetodontoplus_meredithi"
"454" "Chelmon_rostratus" "Chelmon_rostratus"
"455" "Halichoeres_nigrescens" "Halichoeres_nigrescens"
"456" "Valenciennea_decora" "Valenciennea_decora"
"457" "Choerodon_graphicus" "Choerodon_graphicus"
