"sp_name","Importance","PriceCateg","UsedforAquaculture","UsedasBait","GameFish","Fish_chips"
"Amblyeleotris periophthalma",NA,3,0,0,0,0.25
"Amblyeleotris steinitzi",NA,3,0,0,0,0.25
"Amblyeleotris sungami",NA,3,0,0,0,0.25
"Amblyeleotris wheeleri",NA,3,0,0,0,0.25
"Amblyglyphidodon aureus",NA,NA,0,0,0,0
"Amblyglyphidodon batunai",NA,NA,0,0,0,0
"Amblyglyphidodon curacao",0,NA,0,0,0,0
"Amblyglyphidodon flavilatus",NA,NA,0,0,0,0
"Amblyglyphidodon indicus",NA,NA,0,0,0,0
"Amblyglyphidodon leucogaster",2,NA,0,0,0,0.125
"Amblyglyphidodon melanopterus",NA,NA,0,0,0,0
"Amblyglyphidodon orbicularis",NA,NA,0,0,0,0
"Amblyglyphidodon ternatensis",NA,NA,0,0,0,0
"Amblygobius buanensis",NA,3,0,0,0,0.25
"Amblygobius bynoensis",NA,3,0,0,0,0.25
"Amblygobius decussatus",NA,3,0,0,0,0.25
"Amblygobius nocturnus",NA,3,NA,NA,0,0.5
"Amblygobius phalaena",2,3,0,0,0,0.3
"Amblyrhynchotes honckenii",0,NA,0,0,0,0
"Ammodytes tobianus",4,0,0,2,0,0.4
"Amphichaetodon howensis",NA,NA,0,0,0,0
"Amphichthys cryptocentrus",2,NA,0,0,0,0.125
"Amphiprion akallopisos",0,NA,0,0,0,0
"Amphiprion akindynos",NA,NA,0,0,0,0
"Amphiprion allardi",NA,NA,0,0,0,0
"Amphiprion bicinctus",NA,NA,0,0,0,0
"Amphiprion chrysopterus",1,NA,0,0,0,0.0625
"Amphiprion clarkii",1,NA,0,0,0,0.0625
"Amphiprion ephippium",NA,NA,0,0,0,0
"Amphiprion frenatus",NA,NA,0,0,0,0
"Amphiprion fuscocaudatus",NA,NA,0,0,0,0
"Amphiprion latezonatus",NA,NA,0,0,0,0
"Amphiprion leucokranos",NA,NA,0,0,0,0
"Amphiprion mccullochi",NA,NA,0,0,0,0
"Amphiprion melanopus",1,NA,0,0,0,0.0625
"Amphiprion nigripes",NA,NA,0,0,0,0
"Amphiprion ocellaris",0,NA,0,0,0,0
"Amphiprion percula",0,NA,0,0,0,0
"Amphiprion perideraion",0,NA,0,0,0,0
"Amphiprion rubrocinctus",NA,NA,0,0,0,0
"Amphiprion sandaracinos",NA,NA,0,0,0,0
"Anampses caeruleopunctatus",2,3,0,0,0,0.3
"Anampses cuvier",0,NA,0,0,0,0
"Anampses elegans",0,NA,0,0,0,0
"Anampses femininus",NA,3,0,0,0,0.25
"Anampses geographicus",2,3,0,0,0,0.3
"Anampses lennardi",NA,3,0,0,0,0.25
"Anampses lineatus",NA,3,0,0,0,0.25
"Anampses melanurus",NA,3,0,0,0,0.25
"Anampses meleagrides",2,3,0,0,0,0.3
"Anampses neoguinaicus",2,3,0,0,0,0.3
"Anampses twistii",2,3,0,0,0,0.3
"Anarrhichthys ocellatus",2,NA,0,0,0,0.125
"Anguilla anguilla",3,NA,2,0,NA,0.583333333333333
"Anisotremus caesius",2,1,0,0,0,0.166666666666667
"Anisotremus davidsonii",2,1,0,0,NA,0.208333333333333
"Anisotremus interruptus",3,1,0,0,0,0.216666666666667
"Anisotremus scapularis",NA,1,0,0,0,0.0833333333333333
"Anisotremus surinamensis",3,1,0,0,0,0.216666666666667
"Anisotremus taeniatus",2,1,0,0,0,0.166666666666667
"Anisotremus virginicus",2,1,0,0,NA,0.208333333333333
"Anoplocapros amygdaloides",NA,NA,0,0,0,0
"Anoplocapros inermis",NA,NA,0,0,0,0
"Anoplocapros lenticularis",NA,NA,0,0,0,0
"Anyperodon leucogrammicus",2,3,0,0,NA,0.375
"Aphareus furca",3,3,0,0,NA,0.4375
"Aphareus rutilans",3,3,0,0,NA,0.4375
"Aploactisoma milesii",NA,NA,0,0,0,0
"Aplodactylus arctidens",NA,NA,0,0,0,0
"Aplodactylus etheridgii",NA,NA,0,0,0,0
"Aplodactylus lophodon",NA,NA,0,0,0,0
"Aplodactylus westralis",NA,NA,0,0,0,0
"Apogon atradorsatus",NA,2,0,0,0,0.166666666666667
"Apogon atricaudus",0,NA,0,0,0,0
"Apogon binotatus",NA,2,0,0,0,0.166666666666667
"Apogon dovii",NA,2,NA,NA,0,0.333333333333333
"Apogon imberbis",NA,2,0,NA,0,0.222222222222222
"Apogon lachneri",NA,2,0,0,0,0.166666666666667
"Apogon maculatus",NA,2,0,0,0,0.166666666666667
"Apogon pacificus",NA,2,0,0,0,0.166666666666667
"Apogon retrosella",0,NA,0,0,0,0
"Apogon townsendi",NA,2,0,0,0,0.166666666666667
"Apogonichthyoides timorensis",NA,2,0,0,0,0.166666666666667
"Apolemichthys trimaculatus",2,2,0,0,0,0.233333333333333
"Aprion virescens",4,3,0,0,NA,0.5
"Aracana aurita",NA,NA,0,0,0,0
"Aracana ornata",NA,NA,0,0,0,0
"Archamia bleekeri",NA,2,0,0,0,0.166666666666667
"Arcos poecilophthalmos",NA,NA,0,0,0,0
"Arenigobius frenatus",NA,3,0,0,0,0.25
"Argyrosomus hololepidotus",3,3,NA,0,NA,0.583333333333333
"Argyrosomus japonicus",3,1,2,0,NA,0.520833333333333
"Arothron caeruleopunctatus",0,NA,0,0,0,0
"Arothron diadematus",NA,3,0,0,0,0.25
"Arothron hispidus",2,3,0,0,0,0.3
"Arothron inconditus",NA,3,0,0,0,0.25
"Arothron manilensis",NA,3,NA,NA,0,0.5
"Arothron mappa",2,3,0,0,0,0.3
"Arothron meleagris",NA,3,0,0,0,0.25
"Arothron nigropunctatus",NA,3,NA,NA,0,0.5
"Arothron stellatus",0,NA,0,0,0,0
"Arripis georgianus",NA,NA,NA,NA,NA,NA
"Arripis trutta",3,3,0,2,NA,0.6875
"Arripis truttacea",3,NA,0,2,NA,0.583333333333333
"Arripis xylabion",NA,NA,0,0,0,0
"Artedius harringtoni",NA,0,0,0,0,0
"Aspasmogaster tasmaniensis",NA,NA,0,0,0,0
"Aspidontus dussumieri",NA,NA,0,0,0,0
"Aspidontus taeniatus",NA,NA,NA,NA,0,0
"Assessor flavissimus",NA,NA,0,0,0,0
"Assessor macneilli",NA,NA,0,0,0,0
"Assessor randalli",NA,NA,0,0,0,0
"Assiculus punctatus",NA,NA,0,0,0,0
"Asterropteryx semipunctata",NA,3,0,0,0,0.25
"Asterropteryx striata",NA,3,0,0,0,0.25
"Atherina boyeri",3,2,0,0,0,0.283333333333333
"Atherina hepsetus",4,1,0,0,0,0.266666666666667
"Atherina presbyter",1,1,0,0,NA,0.145833333333333
"Atherinomorus vaigiensis",2,1,0,0,0,0.166666666666667
"Atractoscion aequidens",3,1,0,0,NA,0.270833333333333
"Atrosalarias holomelas",NA,NA,0,0,0,0
"Atule mate",2,1,0,0,NA,0.208333333333333
"Atypichthys latus",NA,NA,0,0,0,0
"Atypichthys strigatus",NA,NA,0,0,0,0
"Aulacocephalus temminckii",NA,3,0,0,0,0.25
"Aulorhynchus flavidus",NA,NA,0,0,0,0
"Austrolabrus maculatus",NA,3,0,0,0,0.25
"Axoclinus cocoensis",NA,NA,0,0,0,0
"Axoclinus lucillae",NA,NA,0,0,0,0
"Axoclinus multicinctus",NA,NA,0,0,0,0
"Axoclinus rubinoffi",NA,NA,0,0,0,0
"Azurina eupalama",NA,NA,0,0,0,0
"Balistapus undulatus",3,1,0,0,0,0.216666666666667
"Balistes capriscus",3,2,0,0,NA,0.354166666666667
"Balistes polylepis",3,1,0,0,0,0.216666666666667
"Balistes punctatus",3,1,0,0,0,0.216666666666667
"Balistes vetula",2,1,0,0,NA,0.208333333333333
"Balistoides conspicillum",2,1,0,0,0,0.166666666666667
"Balistoides viridescens",3,1,0,0,0,0.216666666666667
"Bathygobius krefftii",NA,3,0,0,0,0.25
"Bathygobius lineatus",0,NA,0,0,0,0
"Bathystethus cultratus",NA,NA,NA,NA,0,0
"Batrachoides boulengeri",NA,NA,0,0,0,0
"Belone belone",3,2,0,0,NA,0.354166666666667
"Belonoperca chabanaudi",NA,3,0,0,0,0.25
"Blenniella chrysospilos",0,NA,0,0,0,0
"Bodianus albotaeniatus",NA,NA,0,0,0,0
"Bodianus anthioides",NA,3,0,0,0,0.25
"Bodianus axillaris",2,3,0,1,0,0.4
"Bodianus bilunulatus",2,3,0,0,NA,0.375
"Bodianus diana",2,3,0,0,0,0.3
"Bodianus dictynna",NA,NA,0,0,0,0
"Bodianus diplotaenia",NA,3,NA,NA,0,0.5
"Bodianus eclancheri",0,NA,0,0,0,0
"Bodianus frenchii",NA,3,0,0,0,0.25
"Bodianus loxozonus",2,3,0,0,0,0.3
"Bodianus mesothorax",NA,3,0,0,0,0.25
"Bodianus perditio",3,3,0,0,NA,0.4375
"Bodianus rufus",2,3,0,0,0,0.3
"Bodianus scrofa",2,3,0,0,0,0.3
"Bodianus unimaculatus",NA,3,0,0,0,0.25
"Bolbometopon muricatum",3,2,0,0,0,0.283333333333333
"Boops boops",4,2,0,2,NA,0.666666666666667
"Boopsoidea inornata",2,3,0,1,0,0.4
"Boreogadus saida",4,2,0,0,0,0.333333333333333
"Bothragonus occidentalis",NA,NA,0,0,0,0
"Bovichtus angustifrons",NA,NA,0,0,0,0
"Bovichtus argentinus",NA,NA,0,0,0,0
"Brachaluteres jacksonianus",NA,NA,0,0,0,0
"Brachionichthys hirsutus",NA,NA,0,0,0,0
"Brachyistius frenatus",NA,NA,0,0,0,0
"Bryaninops amplus",NA,3,0,0,0,0.25
"Bryaninops erythrops",NA,3,NA,NA,0,0.5
"Bryaninops natans",NA,3,NA,NA,0,0.5
"Bryaninops nexus",NA,3,0,0,0,0.25
"Bryaninops yongei",NA,3,0,0,0,0.25
"Caesio caerulaurea",3,1,0,1,0,0.316666666666667
"Caesio cuning",3,1,0,0,0,0.216666666666667
"Caesio lunaris",2,1,0,0,0,0.166666666666667
"Caesio striata",1,1,0,0,0,0.116666666666667
"Caesio suevica",1,1,0,0,0,0.116666666666667
"Caesio teres",2,1,0,0,0,0.166666666666667
"Caesio varilineata",2,1,0,1,0,0.266666666666667
"Caesio xanthonota",2,1,0,0,0,0.166666666666667
"Caesioperca lepidoptera",NA,3,0,0,0,0.25
"Caesioperca rasor",3,3,0,0,0,0.35
"Caesioscorpis theagenes",NA,3,0,0,0,0.25
"Caffrogobius nudiceps",0,NA,0,0,0,0
"Calamus bajonado",2,1,0,0,NA,0.208333333333333
"Calamus brachysomus",3,1,0,NA,0,0.270833333333333
"Calamus calamus",2,1,0,0,0,0.166666666666667
"Calamus pennatula",3,1,0,0,0,0.216666666666667
"Calamus taurinus",3,1,0,0,0,0.216666666666667
"Callanthias australis",NA,NA,0,0,0,0
"Calliclinus geniguttatus",NA,NA,0,0,0,0
"Callionymus comptus",NA,NA,0,0,0,0
"Callionymus lyra",2,NA,0,0,0,0.125
"Calloplesiops altivelis",NA,NA,0,0,0,0
"Calotomus carolinus",3,2,0,0,0,0.283333333333333
"Calotomus japonicus",3,2,0,0,NA,0.354166666666667
"Calotomus spinidens",3,2,0,0,0,0.283333333333333
"Calotomus viridescens",2,2,0,0,0,0.233333333333333
"Cantherhines dumerilii",NA,2,0,0,0,0.166666666666667
"Cantherhines fronticinctus",NA,2,0,0,0,0.166666666666667
"Cantherhines longicaudus",NA,2,0,0,0,0.166666666666667
"Cantherhines macrocerus",NA,2,0,0,0,0.166666666666667
"Cantherhines pardalis",2,2,0,0,0,0.233333333333333
"Cantherhines pullus",1,2,0,0,0,0.183333333333333
"Cantherhines sandwichiensis",NA,2,0,0,0,0.166666666666667
"Cantheschenia grandisquamis",NA,NA,0,0,0,0
"Canthidermis maculata",3,1,0,0,0,0.216666666666667
"Canthidermis sufflamen",3,1,0,0,NA,0.270833333333333
"Canthigaster amboinensis",0,NA,0,0,0,0
"Canthigaster axiologus",NA,NA,0,0,0,0
"Canthigaster bennetti",NA,3,0,0,0,0.25
"Canthigaster callisterna",NA,3,0,0,0,0.25
"Canthigaster capistrata",NA,3,0,0,0,0.25
"Canthigaster compressa",0,NA,0,0,0,0
"Canthigaster coronata",NA,3,0,0,0,0.25
"Canthigaster cyanetron",NA,3,0,0,0,0.25
"Canthigaster epilampra",NA,3,0,0,0,0.25
"Canthigaster figueiredoi",NA,3,0,0,0,0.25
"Canthigaster jactator",NA,3,0,0,0,0.25
"Canthigaster janthinoptera",NA,3,0,0,0,0.25
"Canthigaster marquesensis",NA,3,0,0,0,0.25
"Canthigaster papua",NA,3,0,0,0,0.25
"Canthigaster punctatissima",NA,3,0,0,0,0.25
"Canthigaster rapaensis",NA,3,0,0,0,0.25
"Canthigaster rivulata",0,NA,0,0,0,0
"Canthigaster rostrata",NA,3,0,0,0,0.25
"Canthigaster sanctaehelenae",NA,3,0,0,0,0.25
"Canthigaster smithae",NA,3,0,0,0,0.25
"Canthigaster valentini",NA,3,0,0,0,0.25
"Caprodon longimanus",NA,3,0,0,0,0.25
"Caracanthus maculatus",NA,NA,0,0,0,0
"Caracanthus typicus",NA,NA,0,0,0,0
"Caracanthus unipinna",NA,NA,0,0,0,0
"Carangoides bajad",3,1,0,0,NA,0.270833333333333
"Carangoides bartholomaei",NA,NA,NA,NA,NA,NA
"Carangoides chrysophrys",3,1,0,0,NA,0.270833333333333
"Carangoides ferdau",3,1,0,0,NA,0.270833333333333
"Carangoides fulvoguttatus",3,1,0,0,NA,0.270833333333333
"Carangoides gymnostethus",3,1,0,0,NA,0.270833333333333
"Carangoides orthogrammus",3,1,0,0,NA,0.270833333333333
"Carangoides plagiotaenia",2,1,0,0,NA,0.208333333333333
"Caranx caballus",3,2,0,0,0,0.283333333333333
"Caranx caninus",3,2,0,0,NA,0.354166666666667
"Caranx crysos",2,0,0,0,NA,0.125
"Caranx ignobilis",3,2,2,0,NA,0.604166666666667
"Caranx latus",2,2,0,0,NA,0.291666666666667
"Caranx lugubris",2,2,2,0,NA,0.541666666666667
"Caranx melampygus",3,2,2,0,NA,0.604166666666667
"Caranx papuensis",2,2,2,0,NA,0.541666666666667
"Caranx sexfasciatus",3,2,0,0,NA,0.354166666666667
"Caulolatilus princeps",3,0,0,0,NA,0.1875
"Centroberyx affinis",3,2,0,0,0,0.283333333333333
"Centroberyx gerrardi",3,NA,0,0,0,0.1875
"Centroberyx lineatus",2,NA,0,0,0,0.125
"Centrogenys vaigiensis",2,NA,0,0,0,0.125
"Centrolabrus exoletus",0,NA,0,0,0,0
"Centrolabrus melanocercus",NA,3,0,0,0,0.25
"Centropogon australis",NA,NA,0,0,0,0
"Centropyge acanthops",0,NA,0,0,0,0
"Centropyge argi",NA,2,0,0,0,0.166666666666667
"Centropyge bicolor",1,2,0,0,0,0.183333333333333
"Centropyge bispinosa",1,2,0,0,0,0.183333333333333
"Centropyge eibli",NA,2,0,0,0,0.166666666666667
"Centropyge ferrugata",NA,2,0,0,0,0.166666666666667
"Centropyge fisheri",NA,2,0,0,0,0.166666666666667
"Centropyge flavissima",1,2,0,0,0,0.183333333333333
"Centropyge heraldi",NA,2,0,0,0,0.166666666666667
"Centropyge hotumatua",NA,2,0,0,0,0.166666666666667
"Centropyge joculator",NA,2,0,0,0,0.166666666666667
"Centropyge loriculus",NA,2,0,0,0,0.166666666666667
"Centropyge multispinis",NA,2,0,0,0,0.166666666666667
"Centropyge nox",NA,2,0,0,0,0.166666666666667
"Centropyge tibicen",NA,2,0,0,0,0.166666666666667
"Centropyge vrolikii",1,2,0,0,0,0.183333333333333
"Cephalopholis argus",3,3,0,0,NA,0.4375
"Cephalopholis boenak",1,3,0,0,0,0.25
"Cephalopholis cruentata",2,3,0,0,0,0.3
"Cephalopholis cyanostigma",2,3,0,0,0,0.3
"Cephalopholis formosa",1,3,0,0,0,0.25
"Cephalopholis fulva",3,3,0,0,0,0.35
"Cephalopholis hemistiktos",1,3,0,0,0,0.25
"Cephalopholis leopardus",2,3,0,0,0,0.3
"Cephalopholis microprion",2,3,0,0,0,0.3
"Cephalopholis miniata",3,3,0,0,NA,0.4375
"Cephalopholis panamensis",NA,3,0,0,0,0.25
"Cephalopholis sexmaculata",1,3,0,0,NA,0.3125
"Cephalopholis sonnerati",3,3,0,0,0,0.35
"Cephalopholis spiloparaea",2,3,0,0,NA,0.375
"Cephalopholis urodeta",1,3,0,0,0,0.25
"Cetoscarus bicolor",3,2,0,0,0,0.283333333333333
"Cetoscarus ocellatus",NA,NA,0,0,0,0
"Chaenopsis schmitti",NA,NA,0,0,0,0
"Chaetodermis penicilligerus",NA,NA,0,0,0,0
"Chaetodipterus faber",2,1,2,0,NA,0.458333333333333
"Chaetodipterus zonatus",NA,1,0,0,0,0.0833333333333333
"Chaetodon adiergastos",NA,NA,0,0,0,0
"Chaetodon andamanensis",NA,NA,0,0,0,0
"Chaetodon argentatus",2,NA,0,0,0,0.125
"Chaetodon assarius",NA,NA,0,0,0,0
"Chaetodon aureofasciatus",NA,NA,0,0,0,0
"Chaetodon auriga",2,NA,0,0,0,0.125
"Chaetodon auripes",NA,NA,0,0,0,0
"Chaetodon austriacus",NA,NA,0,0,0,0
"Chaetodon baronessa",NA,NA,0,0,0,0
"Chaetodon bennetti",2,NA,0,0,0,0.125
"Chaetodon capistratus",NA,NA,0,0,0,0
"Chaetodon citrinellus",2,NA,0,0,0,0.125
"Chaetodon collare",NA,NA,0,0,0,0
"Chaetodon decussatus",NA,NA,0,0,0,0
"Chaetodon dolosus",0,NA,0,0,0,0
"Chaetodon ephippium",2,NA,0,0,0,0.125
"Chaetodon falcula",NA,NA,0,0,0,0
"Chaetodon fasciatus",NA,NA,0,0,0,0
"Chaetodon flavirostris",NA,NA,0,0,0,0
"Chaetodon guentheri",NA,NA,0,0,0,0
"Chaetodon guttatissimus",NA,NA,0,0,0,0
"Chaetodon humeralis",NA,NA,0,0,0,0
"Chaetodon interruptus",NA,NA,0,0,0,0
"Chaetodon kleinii",1,NA,0,0,0,0.0625
"Chaetodon lineolatus",2,NA,0,0,0,0.125
"Chaetodon litus",NA,NA,0,0,0,0
"Chaetodon lunula",2,NA,0,0,0,0.125
"Chaetodon lunulatus",NA,NA,0,0,0,0
"Chaetodon madagaskariensis",NA,NA,0,0,0,0
"Chaetodon marleyi",NA,NA,0,0,0,0
"Chaetodon melannotus",NA,NA,0,0,0,0
"Chaetodon melapterus",NA,NA,0,0,0,0
"Chaetodon mertensii",2,NA,0,0,0,0.125
"Chaetodon meyeri",2,NA,0,0,0,0.125
"Chaetodon miliaris",NA,NA,0,0,0,0
"Chaetodon multicinctus",NA,NA,0,0,0,0
"Chaetodon nigropunctatus",NA,NA,0,0,0,0
"Chaetodon ocellatus",NA,NA,0,0,0,0
"Chaetodon ocellicaudus",NA,NA,0,0,0,0
"Chaetodon octofasciatus",NA,NA,0,0,0,0
"Chaetodon ornatissimus",2,NA,0,0,0,0.125
"Chaetodon oxycephalus",NA,NA,0,0,0,0
"Chaetodon paucifasciatus",NA,NA,0,0,0,0
"Chaetodon pelewensis",NA,NA,0,0,0,0
"Chaetodon plebeius",2,NA,0,0,0,0.125
"Chaetodon punctatofasciatus",2,NA,0,0,0,0.125
"Chaetodon quadrimaculatus",NA,NA,0,0,0,0
"Chaetodon rafflesii",2,NA,0,0,0,0.125
"Chaetodon rainfordi",NA,NA,0,0,0,0
"Chaetodon reticulatus",2,NA,0,0,0,0.125
"Chaetodon sedentarius",NA,NA,0,0,0,0
"Chaetodon semeion",2,NA,0,0,0,0.125
"Chaetodon semilarvatus",NA,NA,0,0,0,0
"Chaetodon speculum",2,NA,0,0,0,0.125
"Chaetodon striatus",NA,NA,0,0,0,0
"Chaetodon triangulum",NA,NA,0,0,0,0
"Chaetodon trichrous",NA,NA,0,0,0,0
"Chaetodon tricinctus",NA,NA,NA,NA,0,0
"Chaetodon trifascialis",NA,NA,0,0,0,0
"Chaetodon trifasciatus",2,NA,0,0,0,0.125
"Chaetodon ulietensis",2,NA,NA,NA,0,0.25
"Chaetodon unimaculatus",2,NA,0,0,0,0.125
"Chaetodon vagabundus",2,NA,0,0,0,0.125
"Chaetodon wiebeli",NA,NA,NA,NA,0,0
"Chaetodon xanthocephalus",NA,NA,0,0,0,0
"Chaetodon xanthurus",NA,NA,0,0,0,0
"Chaetodon zanzibarensis",NA,NA,NA,NA,0,0
"Chaetodontoplus conspicillatus",NA,2,0,0,0,0.166666666666667
"Chaetodontoplus duboulayi",NA,2,0,0,0,0.166666666666667
"Chaetodontoplus meredithi",NA,2,0,0,0,0.166666666666667
"Chaetodontoplus mesoleucus",2,2,0,0,0,0.233333333333333
"Chaetodontoplus personifer",NA,2,0,0,0,0.166666666666667
"Chaetodontoplus septentrionalis",NA,2,0,0,0,0.166666666666667
"Chaetodontoplus vanderloosi",NA,NA,0,0,0,0
"Champsocephalus esox",3,2,0,0,0,0.283333333333333
"Chanos chanos",4,NA,2,2,NA,1
"Cheilinus abudjubbe",NA,3,0,0,0,0.25
"Cheilinus chlorourus",2,3,0,0,0,0.3
"Cheilinus fasciatus",2,3,0,0,0,0.3
"Cheilinus lunulatus",2,3,0,0,0,0.3
"Cheilinus oxycephalus",2,3,0,0,0,0.3
"Cheilinus trilobatus",2,3,0,0,0,0.3
"Cheilinus undulatus",2,3,2,0,NA,0.625
"Cheilio inermis",2,3,0,0,0,0.3
"Cheilodactylus ephippium",NA,NA,NA,NA,NA,NA
"Cheilodactylus fasciatus",1,NA,0,0,0,0.0625
"Cheilodactylus francisi",NA,NA,NA,NA,NA,NA
"Cheilodactylus fuscus",NA,NA,NA,NA,NA,NA
"Cheilodactylus gibbosus",NA,NA,NA,NA,NA,NA
"Cheilodactylus nigripes",NA,NA,NA,NA,NA,NA
"Cheilodactylus pixi",NA,NA,0,0,0,0
"Cheilodactylus plessisi",NA,NA,NA,NA,NA,NA
"Cheilodactylus rubrolabiatus",NA,NA,NA,NA,NA,NA
"Cheilodactylus spectabilis",NA,NA,NA,NA,NA,NA
"Cheilodactylus vestitus",NA,NA,NA,NA,NA,NA
"Cheilodactylus zebra",NA,NA,NA,NA,NA,NA
"Cheilodactylus zonatus",NA,NA,NA,NA,NA,NA
"Cheilodipterus arabicus",NA,2,0,0,0,0.166666666666667
"Cheilodipterus artus",NA,2,0,0,0,0.166666666666667
